               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11215,            0.040409,            0.051544,           0.0014886,             0.16086,           0.0019831,          0.00056446,            0.095692,             0.03192,            0.048152,              0.0793,              0.0023,              0.0023
                   1,             0.10024,            0.052899,            0.048047,            0.001634,             0.24338,           0.0015315,          0.00045421,            0.092674,            0.033165,            0.047689,            0.057653,           0.0046535,           0.0046535
                   2,             0.09448,            0.052372,            0.046619,           0.0016587,             0.24806,           0.0025194,          0.00064628,            0.090934,            0.033833,            0.047174,            0.035959,           0.0069594,           0.0069594
                   3,            0.092448,            0.056551,            0.043956,           0.0021185,             0.24289,           0.0027961,          0.00064173,            0.094492,            0.032268,            0.045945,            0.014218,           0.0092178,           0.0092178
                   4,            0.091779,            0.047541,            0.039771,           0.0010046,            0.014047,          0.00055559,          0.00014136,              0.1335,            0.017956,             0.13999,            0.009604,            0.009604,            0.009604
                   5,            0.089308,            0.047284,             0.03828,           0.0039026,            0.004918,           0.0010803,          0.00031652,             0.12814,            0.071521,             0.14232,            0.009604,            0.009604,            0.009604
                   6,            0.086454,            0.048851,            0.037495,             0.62954,            0.037912,            0.012876,           0.0032814,             0.08521,            0.068298,            0.045133,            0.009505,            0.009505,            0.009505
                   7,            0.083222,            0.049077,            0.035448,             0.64099,            0.089163,            0.057573,            0.014016,            0.082629,            0.034799,            0.039969,            0.009406,            0.009406,            0.009406
                   8,              0.0841,            0.046454,            0.034336,             0.64139,             0.13127,            0.061727,            0.013778,            0.076745,            0.034068,             0.04025,            0.009307,            0.009307,            0.009307
                   9,            0.082018,            0.048362,            0.035049,             0.86585,                0.08,            0.063873,            0.018404,            0.084302,            0.042217,            0.040042,            0.009208,            0.009208,            0.009208
                  10,            0.081216,            0.045328,            0.034552,             0.23983,            0.041639,            0.020419,           0.0072027,            0.076509,            0.064155,            0.039502,            0.009109,            0.009109,            0.009109
                  11,            0.078606,            0.045053,            0.034671,             0.68799,             0.09006,            0.084349,            0.028218,            0.073543,            0.049133,            0.038759,             0.00901,             0.00901,             0.00901
                  12,             0.07842,            0.045617,            0.034718,             0.68903,            0.082105,            0.081744,            0.029045,            0.073372,            0.046931,            0.037905,            0.008911,            0.008911,            0.008911
                  13,            0.077585,            0.044015,            0.034862,             0.46198,             0.15746,            0.080586,            0.023745,            0.074784,            0.030616,            0.037024,            0.008812,            0.008812,            0.008812
                  14,            0.074237,            0.047414,             0.03244,             0.90808,            0.094737,             0.12979,            0.043635,            0.071548,            0.034608,            0.036773,            0.008713,            0.008713,            0.008713
                  15,            0.076618,            0.043869,            0.033712,             0.65657,             0.10901,            0.076091,             0.02686,            0.074018,            0.029709,            0.036661,            0.008614,            0.008614,            0.008614
                  16,            0.074659,             0.04281,            0.032933,              0.6815,             0.10481,            0.080124,            0.023212,            0.076698,            0.026734,            0.036048,            0.008515,            0.008515,            0.008515
                  17,             0.07461,            0.043155,            0.032386,             0.68648,             0.14133,             0.12174,            0.046492,             0.06982,            0.028166,            0.036186,            0.008416,            0.008416,            0.008416
                  18,            0.074358,            0.042519,            0.033159,             0.92299,             0.10526,             0.11849,            0.039198,            0.071995,            0.028176,            0.035669,            0.008317,            0.008317,            0.008317
                  19,            0.072633,            0.046339,            0.032679,              0.9307,            0.088421,             0.14396,            0.045832,            0.069344,            0.027972,            0.035727,            0.008218,            0.008218,            0.008218
                  20,            0.071888,            0.042597,            0.031971,             0.71142,             0.12633,             0.11105,            0.043137,            0.071785,            0.027957,             0.03452,            0.008119,            0.008119,            0.008119
                  21,            0.069453,            0.044153,            0.031747,             0.63363,             0.13103,            0.031372,           0.0078918,            0.080731,            0.031067,            0.036508,             0.00802,             0.00802,             0.00802
                  22,            0.070006,            0.045317,            0.032056,             0.70308,             0.13805,              0.1079,            0.038352,            0.067628,            0.030328,            0.035467,            0.007921,            0.007921,            0.007921
